Timestamp,Who are you when you use the NextRequest system?,How many information requests have you filed via NextRequest in the past year?,Did you face any technical problems when submitting a request? ,OPTIONAL_If YES for question please explain,Scale of 1 to 5_how satisfied were you with the city's responses to your requests?,Were records released on the dates you were given as a deadline?,OPTIONAL_If NO explain how long of a delay you experienced and whether or not you ultimately received the records you requested,Scale of 1 to 5_were your interactions with city staff helpful?,Overall_what has worked well for you when using the NextRequest system? ,Overall_in what ways do you think the NextRequest system could be improved?
2017/11/28 8:52:49 AM PST,Member of the public,16+,No,,5,Yes,,5,free records. compared to SDUSD's system which requires payment NextRequest is great. in fact. I paid $200 to SDUSD for records which were never produced by SDUSD,it works very well for me
2017/11/28 9:46:49 AM PST,Journalist -- Working for Media Organization,16+,No,,4,No,Sometimes records were released promptly. other times they weren't. My best guess at an average delay would be about a week.,4,It's simple and easily accessible. I also like that all the previous requests are uploaded automatically. Overall. I'd say the NextRequest system has had a net positive effect on transparency and responsiveness.,More staff dedicated to responding to requests. so the city's response time can be reduced. Also more oversight from the City Attorney's Office so that unnecessary/illegal redactions or withholding of records don't happen as often.
2017/11/28 9:49:27 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,2,No,Put a request in September. Still waiting. ,,I like that the process is streamlined. ,It takes way too long to get your request returned. I understand some requests take longer than others. but I feel many requests take much longer than necessary. 
2017/11/28 10:03:41 AM PST,Journalist -- Working for Media Organization,10-Jun,No,,3,Yes,,4,,
2017/11/28 10:15:12 AM PST,Journalist -- Working for Media Organization,16+,Yes,,2,No,"I don't think I was ever given a deadline for them to meet. They always say ""we hope to have a response to you next week.""",2,Getting records other people have requested.,
2017/11/28 11:37:20 AM PST,Activist,5-Jan,No,,1,No,Months long delay. still waiting,2,Having all corresondence and produced records in one spot,
2017/11/28 11:39:37 AM PST,Journalist -- Working for Media Organization,15-Nov,No,,3,No,,4,,
2017/11/28 12:58:07 PM PST,Journalist -- Working for Media Organization,16+,No,,3,No,"The city often promises to release something ""within two weeks"" or ""next week"" and then doesn't follow up at that time. forcing me to follow up instead. I have multiple requests right now that I'm inquiring about every week or every other week. In multiple cases. I've been waiting for months for the full response.",3,It's easy to make a request and to follow up on them.,"I think the process behind the site is a bigger issue than the site itself. The city can take weeks and even months to respond - whether in full or partially - and sometimes doesn't post all responses provided on the NextRequest. Requestors are often left to repeatedly inquire about requests following promises that they'll be released ""within the next two weeks"" or ""next week."" It can also be challenging to inquire about issues with a request after it's been closed."
2017/11/28 3:20:34 PM PST,Journalist -- Working for Media Organization,10-Jun,No,,4,No,Delayed by a few days,5,,
2017/11/28 3:31:55 PM PST,Journalist -- Working for Media Organization,16+,No,,2,No,In some cases I am still waiting for records to be released. A few other times I was told I would receive records. then was told I would not due to no records being able to be located. After going back to them and asking them to search again. they found records and released them.,4,I like that the information is kept in one place and documented.,I think it should be easier to speak with someone on the phone about your request. sometimes that can make the process easier for all those involved. I also think it would be nice if they were consistent with their policies when it comes to releasing information about the requester. etc. 
2017/11/28 3:43:48 PM PST,Member of the public,16+,No,,5,Yes,,5,ease of making request,the search feature could be better - I searched an address for produced documents and not all came back. same when I searched CAD
2017/11/28 4:43:51 PM PST,Attorney,16+,No,,4,No,Rarely was I given a deadline of any kind to begin with.,4,Transparency of communications.,Showing dates/time stamps of the release of responsive records so there is a clear method of determining which records relate to communications made through the system.  
2017/11/29 10:30:08 AM PST,Journalist -- Working for Media Organization,10-Jun,Yes,Login trouble. Viewing correspondence within the portal is hard and the text is very small. ,2,No,Was told records that existed don't exist. Had to push hard to get city staff to verify the existence of records. Was also denied some records citing unrelated laws.,2,Not much. Emails were better. But it is nice to see all the other requests and records released posted online.,Staff need to do a better job making sure records do not exist before denying a request. It creates a lack of trust. Can also be clearer when records do exist. but are withheld under a legal exemption. Might also be good to provide a clear pathway to appeal denials. with maybe a supervisor contact.
2017/12/01 1:23:34 PM PST,Journalist -- Working for Media Organization,5-Jan,Yes,,1,No,,1,,
2017/12/01 2:03:45 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,4,Yes,,4,I like that it maintains a constant record of when it was submitted. all interactions with staff. who is in charge of it. and when I might expect the resolution. That saves me a significant amount of time going back and forth with a representative. making sure my request was received. asking who is working on it. etc.,My first request was marked as closed with documents missing and had to be reopened by staff. Requesters aren't given a chance to easily agree or dispute if a request has been satisfactorily completed. 
2017/12/01 5:57:17 PM PST,Journalist -- Working for Media Organization,16+,No,,3,No,Depends on the request. At times the records were released days apart from the actual timeframe given. Other instances - we were quoted within the next week to two weeks and we're now at months with no anticipated time estimate. There have also been times when I've had to remind staff I'm waiting on records - those typically show up pretty quick after that reminder.,3,When the request is simple and with the right department the answers come quickly. The persons responding to requests used to be on top of their game - we could go back and forth with questions and answers - also getting timely updates. More recently I feel like I've had to ask more questions about timing and release info and bother them for responses.  Despite delays - it's still better than San Diego Unified.,Process the requests within the timeframe they've given. Not send completed requests out on Friday evening burning through the 72 hour hold window by news time on monday.
2017/12/03 7:54:34 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,2,Yes,,3,,We need a place where we can see all of our outstanding requests. It's ridiculous to have to search through every request with the city to find yours.
2017/12/07 2:46:26 PM PST,Journalist -- Working for Media Organization,15-Nov,No,,2,No,At least a week,1,Filing request,You need a contact person to ask follow up questions or issues with incomplete responses. Best option is to get rid of it though and start over. 
2017/12/19 11:29:26 AM PST,Member of the public,5-Jan,No,,2,No,1 day,3,,Too much info. just tell me when I am getting my docs and how much I have to pay.  Make it easier to pay
2018/01/05 5:02:02 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:02:12 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,2,No,Not sure. but it was at least several days. or a week or more. after the required request time.,3,It's a convenient system. in theory. And not difficult to fill out and submit a request.,Most importantly. there needs to be a way to contact a city staffer directly and quickly to discuss concerns/questions. etc about a request.
2018/01/05 5:02:33 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,4,Yes,,5,,
2018/01/05 5:02:46 PM PST,Member of a local rec council,5-Jan,No,,1,No,Weeks; did receive the records ,1,Receiving the documents electronically,CITY STAFF NEEDS TO ABIDE THE TIMELINES 
2018/01/05 5:02:53 PM PST,Lawyer,5-Jan,No,,,No,,3,,
2018/01/05 5:03:43 PM PST,Student ,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:05:00 PM PST,,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:05:15 PM PST,Activist,10-Jun,No,,3,No,I am still waiting on info 30-Days later,4,It is easy to use ,I am not sure 
2018/01/05 5:05:53 PM PST,Journalist -- Freelance,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:06:02 PM PST,Member of the public,5-Jan,No,,5,Yes,,4,,
2018/01/05 5:07:49 PM PST,Member of the public,16+,No,,5,Yes,,5,no fees for documents. clarification requested was good. fast;I could attach documents; I can make a public record of my requests for others to find; my experience with San Diego Unified is my comparison so NextRequest is great,search feature is poor. took me awhile to learn to attach documents
2018/01/05 5:09:52 PM PST,Journalist -- Working for Media Organization,5-Jan,Yes,The request was originally expressed in general terms and the response was 0. Then I resubmitted for specific documents.,1,No,I requested documents that took weeks to receive before I filed a formal request. Then the response for real estate leases and contracts turned out not to be comprehensive and no one was available to interpret the results. ,3,The online submission process was easy to navigate.,"There needs to be department contact who can help navigate through the city documentation system for those of us who are not familiar with the ins and outs of how things are filed and preserved.
I also urge you to seek comments on the San Diego Unified School District's public records management system. I've encountered it once and find it totally at odds with state law and thoroughly nonresponsive."
2018/01/05 5:12:07 PM PST,Activist,5-Jan,No,,4,Yes,,5,The tracking system helps. ,The city assigns a point of contact staffer. but only provides requester with their name. An e-mail address should also be provided. in the event the requester is having difficulty with the NextRequest system and wanted to contact the staffer directly. 
2018/01/05 5:13:46 PM PST,Member of the public,5-Jan,No,,4,Yes,,5,The one request I submitted was answered and pdf files of requested data was provided.,
2018/01/05 5:17:36 PM PST,Member of the public,16+,No,,5,No,California's Public records act does not impose deadlines for the release of records; . it requires a response within 10 days. That deadline is always programatically met.,5,The system automation allows meeting the 10 day response requirement.  What happens after that is a different matter.,It does what it does very well. I use it to document interactions with the city; a sly and slippery lot; full of deceit and guile.
2018/01/05 5:18:52 PM PST,Lobbyist,5-Jan,No,,4,Yes,,4,Being able to track the status of a request; being able to go back to old requests and re-download files; being able to see what other people are requesting; being able to download documents that other people have requested without re-requesting them.,"Something like a ""Most Requested Documents"" page or list would be nice. For example. seems like tons of people request SeaWorld rent reports every month. "
2018/01/05 5:19:12 PM PST,Journalist -- Freelance,5-Jan,Yes,Sdpd did not comply,1,No,Sdpd did not comply with my request,1,Nothing,Release bodycam footage
2018/01/05 5:20:57 PM PST,market research analyst,10-Jun,No,,1,No,i requested the same data three times and was stonewalled on all three occasions. ,1,nothing,the city manager should demand better performance 
2018/01/05 5:21:11 PM PST,Member of the public,5-Jan,No,,1,No,,1,,Be more transparent. stop hiding data that the city finds embarrassing. I.e. names of connected lobbyist/activist
2018/01/05 5:22:31 PM PST,Professional investor ,15-Nov,Yes,On one occasion. I received a link that I could not open. Generally. I have been satisfied with the technology ,5,Yes,,5,Ease of use. communication when items posted or request is closed ,Faster response times. although generally the response times have been satisfactory 
2018/01/05 5:23:39 PM PST,Member of the public,5-Jan,No,,3,No,Three weeks,4,It's instant which I appreciate.,"It could give tips on how to request effective searches. I'm not a journalist. so when I made my request. I wasn't sure how to phrase my question. nor what other information to include. 
I do not like how the information is immediately made public. Perhaps I'm missing something. but I didn't expect my request to be made public. and that should have been made clear to me.
Finally. in one instance I know of. someone requested all the vacation rental addresses in San Diego. and then posted them publically on the web. I think that should not be allowed. (CureSTR.org)"
2018/01/05 5:23:48 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,I was surprised at the (relative) promptness of the response. and pleased to get the information.  As a first time user. the system worked for my needs: getting a list of petitioners to change zoning.  The action of requesting the information changed the situation and as a result of my inquiry the zoning action was withdrawn.
2018/01/05 5:26:05 PM PST,Member of the public,5-Jan,Yes,Never received a proper or positive response. Information on how to acquire the information I was looking for was never received nor offered. ,1,No,I never received the requested information,1,Nothing,Dont know. seems the information was not available
2018/01/05 5:26:21 PM PST,Member of the public,5-Jan,No,,3,No,several were timely. several were not ,2,avoiding verbal interaction with staff,I used it in May & June. was hoping it improved over time. Recent articles indicate it may have declined in performance as requests increased. I gave up attempting further requests after they kept passing off responses to other staffers.
2018/01/05 5:28:08 PM PST,Journalist -- Working for Media Organization,16+,Yes,Sometimes I don't get email updates about the requests.,2,No,Usually weeks. sometimes I have to wait months. They also miss the 10-day deadline to provide a determination (do records exist. if yes. will they be released and when) on a CONSISTENT basis.,1,Being able to see documents other people have requested.,Having a person in each department who handles requests for that department. Often times. I don't know what records have the information I'm look for. Or I don't know what information/data a department has to request. There's no person on the other end to talk with to help you identify records.
2018/01/05 5:29:00 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Works well but not when I have to figure out how to word exact request,Easier way to find if someone has asked and received answer on same issue
2018/01/05 5:29:37 PM PST,Activist,5-Jan,No,,1,No,They were not releases at all.,1,,
2018/01/05 5:29:51 PM PST,Member of the public,5-Jan,No,,2,No,,1,,They need to follow up if they have questions about the request. not default to exclude that part of the request. I do not feel they adequately addressed my request.
2018/01/05 5:30:14 PM PST,Member of the public,5-Jan,No,,1,Yes,,1,,Improve and expand the categories description making it easier to request the correct information. System so complicated and restrictive in assisting you find the records needed. Verbal contact is non-existent. I was never able to locate the information I wanted and gave up in frustration. 
2018/01/05 5:31:09 PM PST,Activist,5-Jan,Yes,Some questions were difficult to understand.,3,Yes,,4,,
2018/01/05 5:31:54 PM PST,Environmental Consultant,10-Jun,No,,5,Yes,,4,,
2018/01/05 5:33:49 PM PST,Member of the public,15-Nov,No,,5,Yes,,5,"Information/documents that have always supposed to have been available to the public actually are now. specifically SDPD records. I'd made requests over the years to get this or that from the SDPD. knowing full well what I'd asked for was within the domain of the Public Information Act and they were required to hand it over. but they would REFUSE to do so. It's truly sickening they got away with it for as many DECADES as they did. but they did. 

The SDPD's hypocrisy would be laughable if it weren't so damaging. Chief Zimmerman is always blathering about how ""transparent"" her department is. She is full of shit and her ""transparent"" lies make me want to smack her; they're intellectually insulting. 

I think the main reason the SDPD got away with it is because whenever I complained to my government representatives about the situation. instead of doing anything. I got a litany of what they COULDN'T do. Instead of looking for causes of action. they dug for excuses NOT to act when apparently they could have--since this portal is now available--they just lacked the WILL to do so.","At first glance it can be a bit confusing because some of the headings are overly broad. If there was a way to ""whittle it down"" a bit to be more specific to exactly what you are looking for that could help. But even when I've made requests under a ""broad"" heading. the personnel who monitor the requests have made sure it gets to the appropriate department."
2018/01/05 5:35:15 PM PST,Member of the public,5-Jan,Yes,They kept sending it from one department to another. I had to re-submit several times.,1,No,As I remember. it was weeks.,1,Nothing,"Have consequences to the ineptness of city employees who do not preform
their job as described.

"
2018/01/05 5:37:17 PM PST,Activist,5-Jan,Yes,,4,No,,5,Staff seemed very responsive to message function in Next request. ,
2018/01/05 5:38:38 PM PST,lawyer,5-Jan,No,,,,,,,I did not use NextRequest.  I used E-mail to make my P.R.A. Request and the City of San Diego responded via NextRequest.  I have been oblivious to NextRequest thereafter.  So. it seems that its use is one-way for the City.  I don't recall now. 15 months later. how well it worked beyond my E-mail trail which occurred within 13 days which is very prompt.
2018/01/05 5:42:26 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 5:45:33 PM PST,Taxpayer Advocate,5-Jan,No,,5,No,I canceled the request. turns out same request was made month before. was published on system. Request number of run missed by ambulance contractor Rural Metro,5,e-mails receiving request and updates,It is nice prior requests are searchable. However missed the document first attempt.
2018/01/05 5:50:06 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,Overall. I feel the system works very well.
2018/01/05 5:50:27 PM PST,,,,,,,,,,Overall. I feel the system works very well.
2018/01/05 5:57:45 PM PST,Activist,5-Jan,No,,1,No,Im still waiting after several weeks to even get a deadline. ,3,The website is cool. I like to see all the requests of other’s. ,The police department lacks transparency and ethics.
2018/01/05 5:58:24 PM PST,consultant,5-Jan,No,,4,Yes,,5,,
2018/01/05 6:00:50 PM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/05 6:06:09 PM PST,Member of the public,5-Jan,No,,4,,,5,Staff responds to internet requests pretty promptly. My only dissatisfaction is a vague suspicion that I didn’t get everything I requested. ,None. I think that the web portal works well for requesters and I cringe to imagine what all of these requests are costing me as a taxpayer. 
2018/01/05 6:17:23 PM PST,Member of the public,10-Jun,No,,2,No,,3,,
2018/01/05 6:19:20 PM PST,Member of the public,5-Jan,No,,4,Yes,,3,,
2018/01/05 6:32:10 PM PST,Member of the public,5-Jan,No,,1,No,,1,,
2018/01/05 6:33:53 PM PST,Member of the public,5-Jan,No,,4,,,,It worked relatively well. I got a response so I was happy overall even though it was 10 days later.  Thank you for everything you do.,
2018/01/05 6:37:15 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,Request was prompt response.
2018/01/05 6:41:17 PM PST,Property Condition Assessor,16+,No,,5,Yes,,5,Everything,Nothing
2018/01/05 6:50:16 PM PST,Member of the public,5-Jan,Yes,site timed out. pages wouldn't load,1,No,,1,,
2018/01/05 6:52:51 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 6:52:52 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Quick comprehensive response ,It’s perfect 
2018/01/05 6:56:38 PM PST,Lawyer,5-Jan,Yes,I don't recall the request being promptly responded to.,2,No,I don't remember when documents (if any) were released to me.  In fact. I think I was told that the records could not be released.,2,Nothing.  I'm not trying to be cynical.,There needs to be a quicker response.
2018/01/05 7:10:15 PM PST,Member of the public,5-Jan,No,,3,No,No I am yet to receive some information,5,,City staff should state in a single straight forward check off matter what documents will not be released
2018/01/05 7:10:22 PM PST,,,,,,,No I am yet to receive some information,,,City staff should state in a single straight forward check off matter what documents will not be released
2018/01/05 7:33:23 PM PST,Multiple hats: Activist. Advocate. Entrepreneur. NPO,5-Jan,No,,3,No,One of about four requests I made this year took about four months to get the requested documents. ,3,The ability to see the threaded back-and-forth discussion. the ability to view other requests and response-documents.,I have a long list. Please email if you're interested in a longer response. Thank you!
2018/01/05 7:36:25 PM PST,Journalist -- Freelance,16+,Yes,One was lost and several took rather long.,4,No,I did receive them. albeit a bit late. Some of the requests were voluminous and I attributed that to the delays.,4,having a centralized location to communicate and view requests.,Often times messages to and from staff take longer than expected.
2018/01/05 7:51:14 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/05 7:51:24 PM PST,Member of the public,16+,No,,1,No,still waiting on some. months later. They are ignoring my requests,1,They hide under the color of authority when they do not want to provide information,Give up the info. do be a chickenshit!
2018/01/05 7:56:58 PM PST,Member of the public,16+,No,,5,Yes,,5,,
2018/01/05 7:57:24 PM PST,Member of the public,5-Jan,No,,5,Yes,In one instance they requested an extra week to try and locate records but none existed. ,5,Ease of use - time efficiency ,Improved search - fuzzy logic
2018/01/05 8:10:42 PM PST,Member of the public,5-Jan,No,,4,,,3,,
2018/01/05 8:14:32 PM PST,Journalist -- Working for Media Organization,5-Jan,No,,5,Yes,,4,,way easier than 99% of the records requests i've done
2018/01/05 9:06:23 PM PST,Private Investigator,10-Jun,No,,5,Yes,,5,The ease of creating and submitting the request online make the process very easy.  On the occasion a request takes several months to research. the staff provides timely updates and has to date always provided the requested information.,
2018/01/05 10:01:00 PM PST,Member of the public,5-Jan,No,,5,No,The original date was extended.,5,It was easy and actually worked. I also went to file another one. but it determined someone had already filed a similar PRA with the documents I was looking for. It worked well.,I like it. I've filed in other places. such as the City of Chicago and City of Huntington Beach. This is a much better experience.
2018/01/05 10:44:07 PM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/06 2:28:44 AM PST,Member of the public,5-Jan,No,,3,No,,4,,
2018/01/06 3:51:11 AM PST,Land Use Consultant,5-Jan,Yes,Request isn't routed properly.,1,No,In some instances. never received the requested records.,2,I do not like the system.,Use a conventional request system and properly route request.
2018/01/06 4:03:25 AM PST,Member of the public,5-Jan,Yes,Had to resubmit a few times as it would time out ...I learned to copy my info first so I didn't have to retype,1,No,I never got them,1,Nothing,"Someone needs to go on in a ""mysterious shopper"" fashion and try out the system themselves so that they don't know or cannot prepare so they can see how well the system functions without interference. "
2018/01/06 5:47:09 AM PST,Member of the public,5-Jan,No,,4,No,Deadline uncertain due to need for signatures,4,Yes,Uncertain
