Timestamp,Who are you when you use the NextRequest system?,How many information requests have you filed via NextRequest in the past year?,Did you face any technical problems when submitting a request? ,OPTIONAL_If YES for question please explain,Scale of 1 to 5_how satisfied were you with the city's responses to your requests?,Were records released on the dates you were given as a deadline?,OPTIONAL_If NO explain how long of a delay you experienced and whether or not you ultimately received the records you requested,Scale of 1 to 5_were your interactions with city staff helpful?,Overall_what has worked well for you when using the NextRequest system? ,Overall_in what ways do you think the NextRequest system could be improved?
2018/01/06 6:15:27 AM PST,Member of the public,5-Jan,Yes,Sorry. dont remember right now.,1,No,sorry dont remember but over due and unresponsive,1,Nothing,Let people decide whether they want to send in a hard copy or use the system.
2018/01/06 6:51:07 AM PST,Federal Govt. civilian employee,5-Jan,No,,4,No,As I recall. it took a couple of weeks for the various submissions that progressed to different agencies. No records were found.,4,Doing it online and seeing the process unfold. ,Perhaps have some personal response from an individual that everything had been researched properly and there was nothing available. I believe it was all automated.
2018/01/06 7:17:34 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,They provided the list I requested within a couple of days,I'm not sure but any information/data system should have good search and retrieval capability.  San Diego's seems pretty good.
2018/01/06 7:36:12 AM PST,Journalist -- Working for Media Organization,10-Jun,Yes,,1,No,Delays are typically not explained,1,,Should be scrapped in favor if internal digital system
2018/01/06 7:44:37 AM PST,Member of the public,5-Jan,Yes,,1,No,,2,,Difficult to navigate 
2018/01/06 7:49:27 AM PST,Member of the public,5-Jan,No,,3,Yes,,4,The ability to keep track of my request. Also. I've noticed that I am more likely to get a response to my public records request when it has been submitted through a portal like NextRequest. Not every CA city utilizes a portal system and my requests submitted via email often go ignored. ,I requested the Twitter block lists of several council members in one request. Due to how responses are provided through the system it would have been better to submit those requests individually.
2018/01/06 8:15:54 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,timeliness of reply.,
2018/01/06 8:56:36 AM PST,Member of the public,5-Jan,No,,3,No,The records were from 1981 and had been removed per city/county policy.,3,,
2018/01/06 9:04:33 AM PST,Private investigator ,5-Jan,No,,1,No,About a two week delay. I did not receive records/ information which I believed to exist ,3,Ease of submitting ,This is a City staff issue more than the system issue
2018/01/06 9:44:29 AM PST,Journalist -- Freelance,10-Jun,No,,5,Yes,I answered 'yes'. but for the most part. depending on whether or not the reports I am seeking were filed by the department (lifeguard activity report),5,It is better than having the department copy me on the weekly reports. as they are understaffed and there is not central PIO. it's more of a shared duty and can be inconsistent. So NextRequest provides a way to secure data for a weekly element in print.,None that I can think of. seems great.
2018/01/06 9:57:17 AM PST,Activist,15-Nov,No,,4,No,No deadline given,4,It’s worked well. but it would be better if the city department in question was more forthcoming with information during scheduled meetings when reports related to the requests are being given.  Reports are verbal only.  Documentation is usually not presented.  ,It would be handy to have a folder of just my requests.  I’ve made more than 40 since 2014. all related to the same topic.  The older requests were fulfilled using compact discs in a format that required specialized software to access.  So. in many respects. this is much better.  
2018/01/06 10:05:24 AM PST,Member of the public,5-Jan,Yes,I was unable to reopen the request since the documents provided were incomplete. I requested a traffic & speed engineering survey & only received a summary. We then went to email to try to resolve the issue. It seemed email was a much faster response than the system. Issue however didn't get resolved because the system said it was closed therefore no longer on the to-do list. If emailed it doesn't make the list so it can be ignored. but if in the system the administrator deciders if a request is resolved even if it isn't. ,2,No,I had to email to get a response,2,I liked how I was able to look up a previous request before submitting my request. It may help to add tags to the documents so we may narrow our search. such as streets in my case. Most people of the public requesting for the first time don't know exactly what they need to search.  such as the name of the document or what's in the document to narrow the search. For example. I didn't know what streets were labeled in the engineering survey so when I searched the name of a main street I found I needed to search the reference streets instead. ,Email conflicts with the process. There's needs to be an SOP & it must be followed. Also.  providing the minimal documentation.  such as summaries rather than the entire document.  given the request is digital.  only makes the request dialogue longer.  more staff time.  & less possibility of showing up in a search for someone else's needs in the future. Therfore summaries take away from the beauty of the system's  intent which is to eventually expedite & save $.
2018/01/06 10:06:17 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,3,Yes,,3,Everything is streamlined and I can see which person and Department is dealing with my request.,There is much less opportunity to go back and forth on requests for clarifications or to discuss how something was searched for. In that way it’s less transparent and makes it more difficult to ensure you receive what you’re looking for.
2018/01/06 10:11:28 AM PST,Commercial research,16+,No,,3,No,"Generally received the records. not always timely. And. the City tends to ""inadvertently"" interpret very specific requests incorrectly - particularly when it doesn't want to release information",2,Submittal is relatively simple,"A requestor ought to be able challenge or. at a minimum. comment on a ""closed"" request.  On more than one occasion. the City has deemed a request ""closed"" when it had not produced the records or had ""inadvertently"" produced incomplete or completely wrong records in response to a very specific request. If the City is being measured on closed requests. this number is skewed."
2018/01/06 10:14:40 AM PST,Member of the public,5-Jan,No,,2,No,Did not provide complete details so needed to go back,2,Compared to other City services in San Diego (ie SDPD dispatch. SDPD traffic. etc) this one works relatively well (that being said in any other city it wourld be considered substandard) ,Sometime hard for public to know how documents are filed so additional interaction would be good 
2018/01/06 10:20:04 AM PST,Member of the public,5-Jan,Yes,They said It was not in their jurisdiction to give me info. They said they were only for SDPD and I was inquiring about Chula Vista police.  Chula Vista police said they could not release info and then transferred me to a department that handles the release of info. She too said I cannot have the info I requested . which was a police report and 911 audio call. It wasn't until I gave them the law or the code number that made it law for them to release info to any public citizen requesting it.. at this point . she referred me to the site . Next Request. But she must have known it was only for San Diego and not Chula Vista. ,1,No,The actuall person responding from next request was actually very quick to respond and informative. It's Chula Vista pd that is not up to par ,4,,
2018/01/06 10:20:16 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/06 10:51:44 AM PST,Member of the public,5-Jan,No,,3,Yes,,2,The response time in regards to what I've requested was good. but on one occasion I was asked to discuss the question and my answers were not forthcoming. I felt that my questions were ones that the city didn't want to answer. so they had a dept head call and discuss my questions with me.,Any and all questions grom the piblic should be responded to in writing. othetwise it makes the requestor fill like they're asking questions staff doesn't want to answer or some other nefarious reason.
2018/01/06 11:05:55 AM PST,Member of the public,5-Jan,No,,3,,,5,If I submit a request in a higher income area. I get a response compared to no response at all.,
2018/01/06 11:06:54 AM PST,Member of the public,5-Jan,No,,4,Yes,,5,,
2018/01/06 11:23:27 AM PST,Member of the public,5-Jan,No,,1,Yes,,3,The ability to approach the city about the accident,The system worked good for my needs.
2018/01/06 11:35:27 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,1,Yes,,1,Nothing. This is a terrible way to access public documents. ,Dump NextRequest entirely. The city has many PR professional in place who could do a much better job. 
2018/01/06 1:51:46 PM PST,Land Use Planning consultant,5-Jan,Yes,the system gagged on a request for files from the 1970s,2,No,i had to call twice over a 3 week period to get a supervisor to get the old files from archives,3,This new system may work for some records from the last couple years. but only because i have worked with the City for 40 years. did i not give up. badgering the staff till i got what i knew they had.,Make it embrace ALL the records of Council actions. ever.
2018/01/06 3:03:23 PM PST,Member of the public,5-Jan,No,,4,No,They were released well before the estimated delivery date.,4,Hard to say.  I used it once.  It worked.  Not much else to say about it. ,1) No Comment about the NR system.  2) Members of the media might do what I do to get information - develop and maintain a large group of “friends in low places” across the City staff who can provide information; but don’t say you’re in the media.  You’re anathema with City staff because they don’t want to help you and then be outed for having done it.  Said straightforwardedly. I protect my friends in low places who in turn keep me abreast of what’s happening at the City in the departments that interest me. all without resort to the formal NextRequest system.
2018/01/06 3:03:33 PM PST,Member of the public,5-Jan,Yes,"document was reported ""unavailable "" and I would have to get back to them on my request",1,No,did not receive the record,2,,web site and request process very difficult and slow
2018/01/06 3:28:09 PM PST,Attorney. for use in information gathering. lawsuits. and public bidding on public works projects,16+,No,,3,No,For the most part. records were released in a timely manner.  However. in a few instances. I would be waiting for weeks (2-3) after the coordinator told me I would records.  Further. when I tried to follow up. I would get no response.  This problem. in my opinion. is not attributable to the individual City departments and employees who handle the request.  ,4,Having an online database where the responsive documents are produced is helpful.  Further. having each file appropriately named makes it easier to organize.  ,"It is hard to get in contact with the representative who is handling my requests.  I understand the NextRequest was created to put a layer between citizens and departments and to have NextRequest representatives work on the request.  However. as an attorney particularly. sometimes the issues are time sensitive.  When I do other public records requests throughout the State. I am able to contact the coordinator directly via phone or email.  The NextRequest system only allows us to leave a message for our coordinator.  This problem may be unique to my situation. but I feel like more direct access to those gathering the documents would be helpful.  Further. if production is made and somethings are missing. I typically send and email with attachments and hyperlinks to show which documents still need to be produced.  However. with the NextRequest message system. I cannot do that and it makes it harder to communicate which documents the City still needs to be produced.  Finally. a lot of what I do concerns Public Works Construction Projects owned by the City.  Specifically. competitive bidding and ensuring City compliance with the municipal code.  When a project is awarded. often times the losing bidders protest the winning bid to get the City to award to someone else.  This ""protest"" process requires entities. and their attorneys like me. procure the CIty's Project Documents. other bids. and City regulations specific to that Project. all of which are public records under California law.  The City requires all protests to be submitted within 10 days of award on any project.  With such a short window. getting documents as soon as we can is essential.  As set forth above. the NextRequest system makes it difficult to contact a representative to ensure prompt production of records.  The typical fact pattern for me is that I submit my request. it takes a day or two to assign to a representative. then another day or two for that representative to coordinate with the proper department. and by the time I get the documents. or a response from my representative. I only have a short window to analyze and draft our protest.  In short. more access to the representative handling the request would be useful.    
  "
2018/01/06 3:28:14 PM PST,Member of the public,5-Jan,No,,4,Yes,,5,"Staff helped me refine my ""ask"". I got what I was looking for. and not anything else.",Instead of a pdf of a photo. it would be nite to receive it in native format.
2018/01/06 3:29:53 PM PST,Member of the public,5-Jan,Yes,list didn't have documents referenced,2,No,some have never been released,1,not much,I suggest firing them and going back to direct contact with responsible staff.
2018/01/06 8:32:51 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Ease of website to get my requested record.,From what I’m used to on other websites I can’t think of anything that could be improved with this site. It’s great.
2018/01/07 1:44:32 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,Informative answers via E-Mail with the staff.,No suggestions at this time.
2018/01/07 2:24:25 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,easy to submit issues,more feedback. estimated times. etc.  I only received confirmation of my request being submitted and confirmation that the request was complete. but the complete message came long after the issue was resolved...
2018/01/07 3:52:04 AM PST,Research Firm connected with University,5-Jan,Yes,Difficult to use compared with other FOIA requests we make. Almost impossible to complete all of the requirements necessary to receive FOIA information...it seems to border on violation to the actual act itself.,1,No,No records were released to the initial request.,1,Nothing so far.,Just submit the information requested instead of all of the technical hoops required to receive the information.
2018/01/07 9:34:43 AM PST,Member of the public,5-Jan,No,,5,Yes,,,No interaction with staff. Done online ,
2018/01/07 10:19:22 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/07 11:12:35 AM PST,Member of the public,5-Jan,No,,1,No,,1,,
2018/01/07 11:37:31 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/07 12:59:04 PM PST,Attorney,5-Jan,No,,5,Yes,,5,Very well.,Quicker turn around times would help.
2018/01/07 2:08:15 PM PST,Professional Engineering Geologist,10-Jun,No,,4,Yes,,5,Savings in time and cost in not having to personally visit the City.,Perhaps a bit faster response to requests.
2018/01/07 2:17:51 PM PST,Member of the public,5-Jan,No,,5,Yes,,4,,
2018/01/07 8:52:16 PM PST,Member of the public,10-Jun,No,,3,No, Most yes. but some took extra time,5,Communicating with staff after request,A public guideline in how a request should be formatted
2018/01/07 9:57:42 PM PST,Journalist -- Freelance,5-Jan,No,,1,No,I am still waiting for the information I requested. ,1,I got a reply back. but not an answer to my questions,I think it needs to have a space where the questions can be better defined to get a response to the questions asked. Example. I asked about filling requirements by a contractor which should have generated an answer providing copies of the filed paperwork by a contractor under the requirements of their contract. EEOC required paperwork requested. nothing replied back. I know what a blank copy of the required paperwork looks like. where is the required filled out form? 
2018/01/08 1:31:00 AM PST,RESEARCHER,10-Jun,No,,4,Yes,,3,I have no complaints about the system. I primarily have complaints about the Personnel Department. ,The City. particularly the Personnel Dept. should be required to give information from the Neogov database. Instead they only give reports that have been run. 
2018/01/08 4:55:46 AM PST,other local government,5-Jan,No,,5,Yes,,5,,
2018/01/08 5:39:10 AM PST,Member of the public,10-Jun,No,,5,Yes,,5,The responses from different departments all being in one location,No ways. it is easy enough for me to request information
2018/01/08 6:39:31 AM PST,data scientist,5-Jan,No,,5,Yes,,4,clear & efficient,
2018/01/08 6:42:46 AM PST,Member of the public,5-Jan,No,,4,Yes,,3,Ease of use. Answered my requests diligently.,
2018/01/08 7:20:10 AM PST,Member of the public,10-Jun,No,,5,Yes,,4,,
2018/01/08 7:37:26 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,2,Yes,,1,,
2018/01/08 7:49:14 AM PST,Member of the public,5-Jan,No,,5,No,Records unavailable due to other issues,5,everything,more human contact
2018/01/08 7:54:05 AM PST,Engineer,5-Jan,No,,5,Yes,,4,Quick Response,
2018/01/08 8:01:39 AM PST,Subcontractor for an Energy Code baseline study,5-Jan,No,,5,Yes,,5,Speed in which I received the requested information,None come to mind at this time
2018/01/08 8:12:18 AM PST,Member of the public,5-Jan,No,,3,Yes,,3,,
2018/01/08 8:12:25 AM PST,Member of the public,5-Jan,No,,3,No,,3,I received the entire document I was requesting.,n/a
2018/01/08 8:13:05 AM PST,Attorney,5-Jan,No,,5,Yes,,5,,
2018/01/08 8:19:14 AM PST,Public Agency,5-Jan,No,,4,Yes,,4,That once you submit a request. you receive a notification that your request is being processed.  ,
2018/01/08 8:28:16 AM PST,architect,5-Jan,No,,5,No,There were no records available.,5,I received periodic updates on the status of my records request.,No suggestions. it worked well for me.
2018/01/08 8:31:28 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,,
2018/01/08 8:41:25 AM PST,Member of the public,5-Jan,No,,5,No,"I don't recall. so I can't answer ""yes.""",5,The ease of making a request.,Don't know.
2018/01/08 8:45:22 AM PST,Zoning Analysis,5-Jan,No,,5,Yes,,5,,No. I work all over the US and of all the open records systems that i have used i enjoy this one the best. 
2018/01/08 8:50:49 AM PST,Journalist -- Working for Media Organization,5-Jan,No,,4,Yes,,4,For the most part the system was effective,From a technical standpoint. I thought the system worked well
2018/01/08 8:57:51 AM PST,Labor Compliance,10-Jun,Yes,The Public Records Act does not state that i have to use this system. Yet. The City of San Diego gets extremely sensitive when a Public Records Request is sent via any other acceptable medium. The law requires the City of San Diego to respond. but the city cannot provide documents outside the system which brings various difficulties in actually receiving a response.  ,2,No,1-10 days. Not including the months i have to wait for Certified Payroll requests from EOC.,1,Nothing. I benefit more from direct contact.,The next request system should allow for interactions with those workers carrying out the request. There is no way to update anyone on the status any given request.
2018/01/08 8:59:58 AM PST,Member of the public,15-Nov,No,,4,No,"Delays were roughly an additional 2-3 weeks after being advised of having a response within 2 weeks. depending on how long it took to ""locate"" the records. If not all records were received. it's because I advised that the request could be closed prior to receiving the remainder of the documents.",4,The system hasn't given me any problems.,I would like to receive an automated confirmation that the request was received with the tracking number. 
2018/01/08 9:22:44 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/08 9:31:51 AM PST,Consumer Avocate,10-Jun,Yes,,1,No,Few days to a couple weeks,4,Reviewing the documents that we have received.,The amount of time the City takes to respond to the request and notifying the person requesting data the progress the City has made on gathering data. 
2018/01/08 9:39:49 AM PST,Attorney,10-Jun,No,,5,Yes,,5,I don't have any complaints,I don't have any complaints
2018/01/08 9:50:19 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/08 10:18:51 AM PST,Activist,16+,No,,4,No,I make a lot of requests. not all of mine are filled when promised.,4,Its easier than drafting a letter or email!,When you login. it would be nice to see a list of MY requests (pending and closed) to make follow up easier. 
2018/01/08 10:37:36 AM PST,Attorney,5-Jan,No,,3,Yes,,3,,
2018/01/08 10:37:56 AM PST,Member of the public,5-Jan,No,,5,Yes,,5,Responsive and timely,
2018/01/08 10:54:23 AM PST,Vendor ,5-Jan,No,,4,Yes,,3,it was easy to use,system is fine
2018/01/08 11:05:40 AM PST,Researcher,5-Jan,No,,4,No,Ultimately. they didn't house the records we were looking for.  But they were not able to direct us to where to find them.,3,It was easy to submit and we received a quick response.,It would be helpful to be directed to the correct contact or a list with the types of records a department houses.
2018/01/08 11:59:42 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,,
2018/01/08 12:27:40 PM PST,Academic,5-Jan,No,,4,Yes,,5,Ease of use. record of request being received and in process. tracking information provided.,I wish more agencies used it
2018/01/08 2:38:58 PM PST,Member of the public,5-Jan,No,,5,,,5,,
2018/01/08 2:47:10 PM PST,environmental consultant- private sector,16+,No,,5,Yes,,5,Yes. I order county records all over CA and the NextRequest system is by far the most organized. In CA each county is left to its own devices in order to publish public information and each is different in approach. Using NextRequest ( whether San Diego or some other counties) has been the most helpful. ,From my experience. it is the best system out there. I would be hard pressed to file a complaint.
2018/01/08 4:12:25 PM PST,Paralegal for a law firm,10-Jun,No,,4,No,An extra week or two; and in most instances there were able to locate the documents requested. ,5,I like it when they upload the documents to the system,I can't think of anything right now. 
2018/01/08 4:47:59 PM PST,Contractor/Subcontractor working on City Contracts,15-Nov,No,,3,No,Half the records were released timely. Half were not because the City responded it was in the Citys best interest not to respond,3,Requests about payments and billing records were answered relatively well.,I think rejections should be made public. Currently. when the City rejects a request the only who knows is the person making the request
2018/01/08 10:28:31 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Got the info I wanted in a timely manner.,
2018/01/09 10:31:36 AM PST,,5-Jan,Yes,Took too long and not accurate list ,3,No,Weeks,2,So far....not accurate,Prompt. accurate data. customer service
2018/01/09 11:59:29 AM PST,Journalist -- Freelance,5-Jan,No,,4,No,one week beyond the time i requested. ,3,N/A,N/A
2018/01/09 12:39:02 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,Quick and complete response,So far it seems good to me.
2018/01/09 1:37:59 PM PST,Activist,5-Jan,No,,3,Yes,,3,I'm a little confused.   I send my requests to the departments from whom I want information.  They usually send me an email and say the request has been entered in a system.  I have not used the system directly.,
2018/01/10 7:10:22 AM PST,Member of the public,5-Jan,No,,3,Yes,,3,,
2018/01/10 9:58:09 AM PST,Activist,10-Jun,No,,4,Yes,,4,,
2018/01/10 3:53:49 PM PST,Member of the public,5-Jan,No,,2,No,,2,,City needs to answer competently and completely. Responses were not complete. serious or professional.
2018/01/10 4:43:50 PM PST,employee of law firm in Los Angeles,5-Jan,No,,5,Yes,,5,,
2018/01/10 4:45:46 PM PST,Attorney,5-Jan,No,,5,Yes,,5,,
2018/01/10 11:41:15 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,ease of use,perhaps more information for the client to get the information they need
2018/01/11 8:07:48 AM PST,Procurement for our Library system ,5-Jan,No,,5,Yes,,5,Response time was great.   ,None
2018/01/11 4:28:32 PM PST,Activist,5-Jan,No,,5,Yes,,5,,Explain how to obtain information  that is not contained in a public record.
2018/01/11 5:51:55 PM PST,Member of the public,5-Jan,No,,5,Yes,,5,I had been in contact with a city staff member prior to my request. as such I knew exactly what I was looking for and did not need to search the system. Because I was explicit in what I requested. I didn't have any problems getting what I needed.,The search system for existing docs appeared clunky. Although I personally didn't need to use it much. 
2018/01/12 8:35:10 AM PST,Member of the public,5-Jan,No,,4,Yes,,4,I received my information,
2018/01/12 2:19:18 PM PST,Member of the public,5-Jan,No,,3,Yes,,3,,I THINK THAT INTERACTION OF THE STAFF WITH DOCUMENTS PRODUCED COULD BE IMPROVED IN REGARDS TO CLARIFICATION OF ITEMS FOUND OR NOT FOUND.  . I DONT THINK THIS IS NEXT REQUEST ISSUE BUT A POLICY PROCEDURE WITH THE JURUSDICTION. 
